Title;First Author;Year;Diagnostic vs Prognostic;Development vs Validation;Participants 1.1;Participants 1.2;Participants RoB;Predictors 2.1;Predictors 2.2;Predictors 2.3;Predictors RoB;Outcome 3.1;Outcome 3.2;Outcome 3.3;Outcome 3.4;Outcome 3.5;Outcome 3.6;Outcome RoB;Analysis 4.1;Analysis 4.2;Analysis 4.3;Analysis 4.4;Analysis 4.5;Analysis 4.6;Analysis 4.7;Analysis 4.8;Analysis 4.9;Analysis RoB;Overall RoB
Acute Exacerbation of a Chronic Obstructive Pulmonary Disease Prediction System Using Wearable Device Data, Machine Learning, and Deep Learning: Development and Cohort Study;Wu, C;2021;P;D;Y;Y;L;Y;Y;Y;L;PY;PY;Y;PY;Y;Y;L;N;Y;Y;PY;Y;Y;Y;Y;Y;L;H
A smart healthcare-based system for classification of dementia using deep learning;Lim, J;2022;D;D;Y;N;H;Y;Y;Y;L;Y;Y;Y;Y;Y;Y;L;N;Y;Y;Y;Y;Y;Y;N;Y;H;H
Continuous Wearable Monitoring Analytics Predict Heart Failure Hospitalization: The LINK-HF Multicenter Study;Stehlik, J;2020;P;V;Y;Y;L;Y;Y;Y;L;Y;Y;Y;Y;Y;Y;L;N;Y;Y;PY;X;Y;Y;X;X;H;H
Evaluating the Potential of Machine Learning and Wearable Devices in End-of-Life Care in Predicting 7-Day Death Events Among Patients With Terminal Cancer: Cohort Study.;Liu, J;2023;P;D;Y;Y;L;Y;Y;Y;L;Y;Y;Y;Y;Y;Y;L;Y;Y;N;Y;Y;Y;Y;Y;Y;L;L
A Decision Support System for Tele-Monitoring COPD-Related Worrisome Events;Merone, M;2017;P;D;Y;U;U;Y;Y;Y;L;PN;PN;Y;PN;Y;Y;H;N;Y;Y;Y;Y;Y;Y;Y;Y;H;H
Monitoring Parkinson's disease symptoms during daily life: a feasibility study;Heijmans, M;2019;D;D;Y;PY;L;Y;Y;Y;L;Y;Y;Y;Y;Y;Y;L;N;Y;Y;U;Y;Y;N;Y;U;H;H
Passive Nocturnal Physiologic Monitoring Enables Early Detection of Exacerbations in Children with Asthma A Proof-of-Concept Study;Huffaker, M;2018;D;D;Y;Y;L;Y;Y;Y;L;PN;N;Y;PN;Y;PY;H;PY;Y;N;Y;Y;Y;Y;N;Y;H;H
Learning Bayesian networks for clinical time series analysis;van der Heijden, M;2014;D;DV;Y;Y;L;Y;U;Y;U;PY;PN;U;Y;U;Y;U;N;Y;Y;Y;X;Y;Y;X;X;H;H
Early detection of COPD patients' symptoms with personal environmental sensors: a remote sensing framework using probabilistic latent component analysis with linear dynamic systems;Kolozali, S;2023;P;D;Y;Y;L;Y;Y;Y;L;Y;PY;Y;Y;Y;Y;L;Y;Y;U;Y;Y;Y;PY;U;Y;U;U
Detection of Flares by Decrease in Physical Activity, Collected Using Wearable Activity Trackers in Rheumatoid Arthritis or Axial Spondyloarthritis: An Application of Machine Learning Analyses in Rheumatology.;Gossec, L;2019;D;D;Y;Y;L;Y;Y;Y;L;Y;PY;Y;Y;Y;Y;L;Y;Y;N;Y;Y;Y;Y;Y;Y;L;L
